"n_classes","logLik","BIC","AIC","df","Entropy"
3,-342045.191961249,684503.493609434,684166.383922498,690,0.661472824552106
4,-341612.961793201,683780.3602715,683327.923586402,677,0.698814751678483
5,-341273.321848863,683242.407380988,682674.643697727,664,0.632360647692575
6,-340902.533452396,682642.157586215,681959.066904792,651,0.619224679024095
7,-340525.030878211,682028.479436007,681230.061756421,638,0.644035280286672
8,-340291.714457679,681703.173593106,680789.428915358,625,0.618227959374462
